category,title,price,image
bar,Диспенсер для напитков Bar Butler (6 бутылок),3 090 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
bar,Диспенсер для напитков Bar Butler (4 бутылки),2 290 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Зубная щетка электрическая PHILIPS HX 6232/20 ,5 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Зубная щетка электрическая PHILIPS HX 6322/04,5 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Зубная щетка электрическая PHILIPS HX 3292/44,3 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Зубная щетка электрическая PHILIPS HX 3292/28,3 390 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Насадки для зубной щетки PHILIPS HX 9022/10,1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Насадки для зубной щетки PHILIPS HX 9002/10,1 690 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Насадки для зубной щетки PHILIPS HX 6052/07 (для чувствительных зубов),1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Насадки для зубной щетки KIDS (3+) PHILIPS HX 6032/33,1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Набор 2 в 1: электрическая зубная щетка + компактный ирригатор Philips Sonicare HX8424/39,18 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
seriya_event,Набор 2 в 1: электрическая зубная щетка + компактный ирригатор Philips Sonicare HX8424/32,18 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
interaktivnye_igrushki,Интерактивный игрушка Занимательная Анатомия Oregon Scientific SA218,8 290 сом,https://www.planeta.kg/upload/iblock/ed2/ed2646def6e1eeda04cbc668bcd0f102.jpeg
nasosy,Станция бытового водоснабжения GARDENA с эко-режимом 4000/5 eco Comfort,21 590 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
nasosy,"Насос поверхностный Ставр НП-1100 (1100 Вт, макс производительность 53,3 л/мин, напор 42 м, максимальная глубина всасывания 8м)",7 190 сом,https://www.planeta.kg/upload/iblock/7ce/7ce45407c79e5bc9205fc9c5aadad262.jpeg
aksessuary_3,Пильный диск KOLNER KSD185*20*24 ( макс.число оборотов 7600об/мин  1шт),290 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
aksessuary_3,Пильный диск KOLNER KSD160*20*24 ( макс.число оборотов 7600об/мин  1шт),250 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
aksessuary_3,Супер-клей ГЕЛЬ SSGBL12-3 СИЛА 3 гр. (12/576/18432),50 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
aksessuary_3,"Нож для электрорубанка KOLNER KPB 82 (82*5,5*1,2мм 2шт) ",130 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
aksessuary_3,Супер-клей SSBL12-3 СИЛА СВЕРХПРОЧНЫЙ 3 гр. (12/576/18432),30 сом,https://www.planeta.kg/upload/iblock/0c5/0c560abe15b8e5016e412501e648eeea.jpeg
aksessuary_3,ПВХ-изолента ЭРА PRO профессиональная 19мм*20м 150мкм черная,90 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
aksessuary_3,ПВХ-изолента ЭРА PRO профессиональная 19мм*20м 150мкм синяя,80 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
aksessuary_3,ПВХ-изолента ЭРА 15мм*10м черная 43829/43812,30 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
aksessuary_3,ПВХ-изолента ЭРА 15мм*10м синяя 43843/43846,30 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
aksessuary_3,ПВХ-изолента ЭРА 15мм*10м желто-зеленая 43942/43935,35 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektroinstrumenty,"Стабилизатор напряжения компактный ЭРА СНК-2000Ц 160-260В/220В, 2000ВА",4 190 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektroinstrumenty,"Рубанок электрический Ставр РЭ-82/900 ( 900Вт, 16000 об/мин, макс,глубина строгания 3мм, макс. ширина строгания 82мм, выборка четверти 0-15мм)",4 990 сом,https://www.planeta.kg/upload/iblock/2a4/2a4a2ff511dd7fd8c7f2e1070d0dafb9.jpeg
elektroinstrumenty,"Рубанок электрический Ставр РЭ-110/1500 СТР (1500 Вт, 16000об/мин, ширина строгания 110мм, макс глубина строгания 3,5мм, выборка четверти 0-15мм)",7 990 сом,https://www.planeta.kg/upload/iblock/4d9/4d9568d926bd3e6080dba78602312432.jpeg
elektroinstrumenty,"Рубанок электрический KOLNER KEP 900М (900 Вт, 16000 об/мин, макс глубина строгания 3мм, ширина строгания 82мм, выборка четверти 0-15,5мм,)",4 090 сом,https://www.planeta.kg/upload/iblock/fa0/fa06b0d5a87574234b7536ea4163b670.jpeg
elektroinstrumenty,"Пила дисковая электрическая Ставр ПДЭ-190/1600 (1600 Вт, 5000об/мин, 190мм, посадка 20мм, посадка 20мм, максимальная глубина пропила 63мм)",6 990 сом,https://www.planeta.kg/upload/iblock/883/8831a3e8e8b5bae959e02e7dc4f7dd4a.jpeg
elektroinstrumenty,"Перфоратор Ставр ПЭВ-1300 (1300 Вт, 750об/мин, 3000уд/мин, 6Дж, 3 режима работы, SDS-plus, в кейсе ( 3 бура, 1 пика, 1 долото)",9 490 сом,https://www.planeta.kg/upload/iblock/e42/e42740da3411e37849f286c7e1b038c3.jpeg
elektroinstrumenty,"Машина шлифовальная угловая Ставр МШУ-180/1800 М (1800 Вт, 8300 об/мин, 180 мм, посадка 22,2м (М14), плавный пуск, дополнительная рукоятка)",8 490 сом,https://www.planeta.kg/upload/iblock/380/380b4cda5ccc4902f092d6fba8b3a9bf.jpeg
elektroinstrumenty,"Лобзик электрический Ставр ЛЭ-80/750 (750 Вт, 500-3000 ходов/мин, ход полотна 22мм, регулировка частоты хода, 4 супени маятникового хода)",4 090 сом,https://www.planeta.kg/upload/iblock/32e/32efb3db4f89882dabd43885e2dce487.jpeg
elektroinstrumenty,"Лобзик электрический Ставр ЛЭ-65/650 (650 Вт, Резка под углом, регулировка частоты хода, 4 супени маятникового хода)",3 390 сом,https://www.planeta.kg/upload/iblock/d68/d686bead13237e48990aff0ca75d49f6.jpeg
elektroinstrumenty,"Лобзик электрический Ставр ЛЭ-65/600 (600 Вт, 500-3000 ходов/мин, ход полотна 18мм, регулировка частоты хода, 4 супени маятникового хода)",3 190 сом,https://www.planeta.kg/upload/iblock/a80/a809ad21c405ada15999b3470a444804.jpeg
raznoe,"Зарядное устройство для аккумуляторов KOLNER KBCН 4 ( 220 +/-10 В, выходное напряжение постоянное 12В/2,8 А, максимальный зарядный ток 4A,)",1 090 сом,https://www.planeta.kg/upload/iblock/e4d/e4d421c4eba058261cb65fd13b3c5598.jpeg
raznoe,Набор ручного инструмента BORT BTK-94,5 690 сом,https://www.planeta.kg/upload/iblock/8bb/8bb58909f1bf4cc696803bb45e631d9f.png
raznoe,Набор ручного инструмента BORT BTK-89,4 490 сом,https://www.planeta.kg/upload/iblock/d44/d44eb7f46671187f1b4af51b01de7fda.png
raznoe,Набор ручного инструмента BORT BTK-65,5 190 сом,https://www.planeta.kg/upload/iblock/375/3755879660df000b402e5992f38775e7.png
raznoe,Набор ручного инструмента BORT BTK-46,1 890 сом,https://www.planeta.kg/upload/iblock/4b7/4b79fd68605757d3ffff38066d356ca7.png
raznoe,Набор ручного инструмента BORT BTK-100,3 390 сом,https://www.planeta.kg/upload/iblock/8f7/8f71626b80aafbdff2ce0a5771a10293.png
raznoe,Мойка высокого давления BORT KEX-3500,28 990 сом,https://www.planeta.kg/upload/iblock/6ed/6ed65215cd3384e056e15ec0981e8d20.png
raznoe,Мойка высокого давления BORT KEX-2500,20 490 сом,https://www.planeta.kg/upload/iblock/a02/a029d3e5a448112c65a0812f5e573d7b.png
raznoe,Мойка высокого давления BORT BHR-2500R-PRO,14 190 сом,https://www.planeta.kg/upload/iblock/690/690d2a1f79337cc3fd8fa530240fce2f.png
raznoe,Компрессор автомобильный BORT BLK-700X2,3 190 сом,https://www.planeta.kg/upload/iblock/cf1/cf17833b732b9200ce38153970967372.png
ekrany_dlya_proektorov,Экран настенный Mr.Pixel 59 X104 (1.50 X 2.64),11 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран настенный Mr.Pixel 72"" X 96"" (1.83 X 2,44)",9 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран на треноге Mr.Pixel 70"" X 70"" (1,78 X 1,78)",5 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран настенный Mr.Pixel 96"" X 96"" (2,44 X 2,44)",11 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран настенный Mr.Pixel 90"" X 120"" (2,29 X 3,05)",12 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран настенный Mr.Pixel 70"" X 70"" (1,78 X 1,78)",5 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран настенный Mr.Pixel 60"" X 80"" (1,53 X 2,03)",6 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран на треноге Mr.Pixel 80"" X 80"" (2,03 X 2,03)",7 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран на треноге Mr.Pixel 60"" X 60"" (1,53 X 1,53)",5 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ekrany_dlya_proektorov,"Экран моторизированный Mr.Pixel 96"" X 96"" (2,44 X 2,44)	",18 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier U1500SM (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/128GB SSD/64GB eMMC/Intel UHD Graphics 600/Windows 10 Home)",32 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier U1500SD (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/128GB SSD/64GB eMMC/Intel UHD Graphics 600/Без ОС)",26 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier U1500HD (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/1000GB HDD/64GB eMMC/Intel UHD Graphics 600/DOS)",29 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier A1400EM (Intel Celeron N3350 1100MHz/14.1""/1366x768/4GB/64GB eMMC/DVD нет/Intel HD Graphics 500/Wi-Fi/Bluetooth/Windows 10 Home)",24 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,"Ноутбук Haier A1400ED (Intel Celeron N3350 1100MHz/14.1""/1366x768/4GB/64GB eMMC/DVD нет/Intel HD Graphics 500/Wi-Fi/Bluetooth/DOS)",22 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
noutbuki,Ноутбук Haier i428 (13.3” 1920*1080IPS Pentium N4200 /RAM 8 Gb DDR4/Intel SSD 180Gb M.2/battery 5000ma/MS Win 10/metal/подсветка клавиатуры/тёмно-сер),38 990 сом,https://www.planeta.kg/upload/iblock/483/4837040db1d0426cfa29a1b309c361a6.jpeg
noutbuki,"Ноутбук Haier ES34   (13,3"" Full HD IPS Glass/ Core M3 7Y30 /4Gb/ SSD m.2 128Gb/ Full metal/ deep blue)",45 990 сом,https://www.planeta.kg/upload/iblock/2ee/2eef04ab840b28c9bd41c660af3bb8f3.jpeg
sumki_dlya_noutbukov,"Сумка для ноутбука 14"" Krusell Kalix (71155) (Black)",1 730 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для ноутбука 14"" Krusell Gaia slim (71167) (Cream/Black)",2 550 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для ноутбука 14"" Krusell Gaia slim (71165) (Red/Cream)",2 550 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 12"" Krusell Luna sleeve (71172) (Red/Cream)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 12"" Krusell Luna sleeve (71171) (Black/Cream)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 12"" Krusell Luna sleeve (71170) (Black/Cream)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 10"" Krusell Luna sleeve (71160) (Brown)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для нетбука 10"" Krusell Luna sleeve (71157) (Black)",1 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для ноутбука 16"" Krusell Coco slim laptop (71139) (Black/Grey)",2 840 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sumki_dlya_noutbukov,"Сумка для ноутбука 16"" Krusell Coco slim (71141) (Pink/Silvergrey)",2 910 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB740-2-J-CIS grey,26 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB628-R-CIS red,16 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB628-P-CIS black,16 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB627-G-GE-CIS золото,17 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB606-E-CIS черный,10 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB606-D-CIS белый,10 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB1040-J-CIS серый,42 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,"Электронная книга Texet TB-137SE 4ГБ черный (6"".800x 600.Механические кнопки)",6 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB632-K-CIS brown,18 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB627-S-CIS silver,15 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA NH13 SATA (Silver) USB 3.0",4 150 сом,https://www.planeta.kg/upload/iblock/eb8/eb83f2d59cb49ea893e99b975f98c981.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA NH13 SATA (Black) USB 3.0",4 150 сом,https://www.planeta.kg/upload/iblock/831/8313bf478e55d5bc0b69daae9b339dbb.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HV620 SATA (Black) USB 3.0",4 050 сом,https://www.planeta.kg/upload/iblock/429/42994012ef280e89865c455a4b53fad4.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Yellow) USB 3.0",4 440 сом,https://www.planeta.kg/upload/iblock/c3f/c3ff9f2d3e542c4fa7002dccd9d45e19.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Blue) USB 3.0",4 440 сом,https://www.planeta.kg/upload/iblock/734/7343144c27cc01430086f77d51a5fb46.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HC500 SATA (Golden) USB 3.0",4 060 сом,https://www.planeta.kg/upload/iblock/2da/2da3161007b0e8e04c230b4e0d5bb437.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Black) USB 3.0",4 440 сом,https://www.planeta.kg/upload/iblock/a8e/a8eead34401ee5c706793c9489c2ebd8.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HD650 SATA (Red) USB 3.0",4 060 сом,https://www.planeta.kg/upload/iblock/b07/b071ba86de11c69e85120b24a9455198.jpeg
sborka,Сумка для переноса системного блока DFI PC Transpo,1 440 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,"Процессор LGA1156 Intel Pentium G6950 Tray (2.8GHz, 3MB Cache L3, EMT64, Clarkdale)",6 220 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,"Материнская плата LGA1150 Gigabyte GA-Z87X-SLI (1.1) (iZ87Ex, 1xPCI-Ex 16x, 4xDDR III-3000 (32Gb max), 6xSATA 3, RAID, USB 3.0, GLAN, DVI, HDMI, 7.1 c",7 000 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,"Корпус ATX Samurai PA812 (2xUSB+Audio, SECC 0.6mm, Air Duct, LCD, Handle, Red\Black Front Panel)",1 220 сом 2 440 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
